date,category,amount,description
14-04-2023,healthcare,125,Doctor
08-03-2023,entertainment,70,Movie tickets
08-04-2023,entertainment,95,Concert tickets
05-04-2023,entertainment,195,Movie tickets
08-02-2023,food,15,Grocery shopping
05-01-2023,food,155,Grocery shopping
07-01-2023,food,60,Grocery shopping
31-01-2023,travelling,85,Taxi fare
07-01-2023,travelling,40,Taxi fare
26-01-2023,travelling,160,Taxi fare
19-01-2023,entertainment,30,Dinner with friends
06-03-2023,entertainment,170,Movie tickets
16-03-2023,entertainment,60,Dinner with friends
27-03-2023,food,185,Grocery shopping
11-03-2023,food,180,Grocery shopping
17-02-2023,food,200,Grocery shopping
03-04-2023,food,175,Grocery shopping
04-01-2023,food,230,Grocery shopping
09-01-2023,travelling,20,Bus fare
26-03-2023,entertainment,165,Concert tickets
06-04-2023,entertainment,30,Movie tickets
07-01-2023,food,185,Grocery shopping
12-01-2023,food,150,Grocery shopping
05-01-2023,food,185,Grocery shopping
27-01-2023,travelling,215,Taxi fare
29-03-2023,travelling,200,Taxi fare
07-02-2023,travelling,35,Taxi fare
13-04-2023,entertainment,160,Dinner with friends
12-02-2023,entertainment,130,Movie tickets
31-03-2023,entertainment,240,Dinner with friends
18-02-2023,food,230,Grocery shopping
05-01-2023,food,110,Grocery shopping
19-02-2023,food,80,Grocery shopping
04-04-2023,food,5,Grocery shopping
15-02-2023,food,130,Grocery shopping
20-02-2023,travelling,110,Bus fare
21-01-2023,food,110,Grocery shopping
14-01-2023,entertainment,245,Concert tickets
11-03-2023,travelling,50,Taxi fare
11-04-2023,food,135,Grocery shopping
09-04-2023,entertainment,65,Dinner with friends
17-02-2023,travelling,60,Bus fare
20-02-2023,travelling,175,Bus fare
08-03-2023,travelling,160,Bus fare
18-03-2023,travelling,225,Bus fare
01-03-2023,dailyneeds,30,Electricity bill
01-02-2023,dailyneeds,235,Water bill
03-02-2023,utilities,175,Gas bill
05-02-2023,dailyneeds,120,Electricity bill
12-02-2023,entertainment,250,Movie tickets
07-02-2023,food,30,Grocery shopping
18-03-2023,food,245,Grocery shopping
11-02-2023,food,135,Grocery shopping
25-01-2023,healthcare,210,Doctor's visit
02-03-2023,healthcare,190,Dentist's visit
30-03-2023,healthcare,85,Doctor's visit
13-04-2023,healthcare,210,Doctor
19-01-2023,entertainment,180,Movie tickets
14-03-2023,entertainment,125,Concert tickets
22-03-2023,entertainment,40,Movie tickets
06-01-2023,food,60,Grocery shopping
15-02-2023,food,30,Grocery shopping
04-02-2023,food,235,Grocery shopping
20-02-2023,travelling,210,Taxi fare
06-03-2023,travelling,200,Taxi fare
08-03-2023,travelling,135,Taxi fare
27-01-2023,entertainment,135,Dinner with friends
07-04-2023,entertainment,50,Movie tickets
09-03-2023,entertainment,125,Dinner with friends
31-01-2023,food,225,Grocery shopping
03-04-2023,food,165,Grocery shopping
06-02-2023,food,195,Grocery shopping
07-01-2023,food,230,Grocery shopping
06-02-2023,food,145,Grocery shopping
04-01-2023,travelling,170,Bus fare
08-04-2023,healthcare,70,Dentist's visit
01-02-2023,healthcare,155,Doctor's visit
04-03-2023,healthcare,175,Doctor
04-01-2023,entertainment,145,Movie tickets
09-04-2023,entertainment,135,Concert tickets
18-02-2023,entertainment,145,Movie tickets
11-04-2023,food,175,Grocery shopping
12-01-2023,food,90,Grocery shopping
20-02-2023,food,125,Grocery shopping
27-03-2023,travelling,230,Taxi fare
12-02-2023,travelling,130,Taxi fare
14-04-2023,travelling,205,Taxi fare
08-02-2023,entertainment,155,Dinner with friends
08-04-2023,entertainment,125,Movie tickets
03-02-2023,entertainment,130,Dinner with friends
12-04-2023,food,220,Grocery shopping
07-01-2023,food,150,Grocery shopping
25-03-2023,food,245,Grocery shopping
09-03-2023,food,195,Grocery shopping
04-02-2023,food,90,Grocery shopping
02-03-2023,travelling,190,Bus fare
04-01-2023,food,70,Grocery shopping
08-03-2023,entertainment,220,Concert tickets
16-03-2023,travelling,240,Taxi fare
27-02-2023,food,145,Grocery shopping
26-03-2023,entertainment,45,Dinner with friends
05-04-2023,travelling,15,Bus fare
23-02-2023,travelling,190,Bus fare
19-02-2023,travelling,190,Bus fare
18-02-2023,travelling,20,Bus fare
29-01-2023,dailyneeds,90,Electricity bill
03-03-2023,dailyneeds,100,Water bill
25-03-2023,utilities,185,Gas bill
13-02-2023,dailyneeds,190,Electricity bill
03-03-2023,travelling,70,Bus fare
16-02-2023,food,50,Grocery shopping
28-02-2023,entertainment,125,Concert tickets
10-04-2023,travelling,35,Taxi fare
26-03-2023,food,180,Grocery shopping
24-03-2023,entertainment,55,Dinner with friends
07-02-2023,travelling,95,Bus fare
06-03-2023,travelling,195,Bus fare
09-02-2023,travelling,110,Bus fare
25-03-2023,travelling,30,Bus fare
10-04-2023,dailyneeds,65,Electricity bill
29-01-2023,dailyneeds,15,Water bill
08-02-2023,utilities,65,Gas bill
14-01-2023,dailyneeds,160,Electricity bill
27-01-2023,entertainment,10,Movie tickets
12-03-2023,food,155,Grocery shopping
16-01-2023,food,30,Grocery shopping
22-01-2023,food,25,Grocery shopping
10-04-2023,healthcare,30,Doctor's visit
14-01-2023,healthcare,100,Dentist's visit
08-03-2023,healthcare,10,Doctor's visit
06-03-2023,healthcare,185,Doctor
17-03-2023,entertainment,55,Movie tickets
01-02-2023,entertainment,130,Concert tickets
04-01-2023,entertainment,105,Movie tickets
10-04-2023,food,165,Grocery shopping
02-04-2023,food,115,Grocery shopping
24-01-2023,food,175,Grocery shopping
09-03-2023,travelling,30,Taxi fare
04-03-2023,travelling,115,Taxi fare
13-02-2023,travelling,185,Taxi fare
09-02-2023,entertainment,115,Dinner with friends
28-01-2023,entertainment,25,Movie tickets
10-01-2023,entertainment,155,Dinner with friends
14-04-2023,food,200,Grocery shopping
30-03-2023,food,45,Grocery shopping
24-01-2023,food,60,Grocery shopping
17-03-2023,food,65,Grocery shopping
19-01-2023,food,70,Grocery shopping
19-03-2023,travelling,175,Bus fare
29-01-2023,food,115,Grocery shopping
26-01-2023,entertainment,100,Concert tickets
11-02-2023,travelling,30,Taxi fare
10-02-2023,food,75,Grocery shopping
28-01-2023,entertainment,25,Dinner with friends
28-01-2023,travelling,35,Bus fare
30-01-2023,travelling,80,Bus fare
04-01-2023,travelling,15,Bus fare
10-03-2023,travelling,130,Bus fare
11-01-2023,dailyneeds,140,Electricity bill
26-03-2023,dailyneeds,95,Water bill
08-03-2023,utilities,10,Gas bill
07-01-2023,dailyneeds,75,Electricity bill
14-03-2023,entertainment,170,Movie tickets
06-03-2023,food,35,Grocery shopping
15-03-2023,food,85,Grocery shopping
21-03-2023,food,70,Grocery shopping
05-04-2023,healthcare,5,Doctor's visit
12-03-2023,healthcare,160,Dentist's visit
11-03-2023,healthcare,50,Doctor's visit
01-02-2023,healthcare,30,Doctor
03-01-2023,entertainment,65,Movie tickets
13-02-2023,entertainment,90,Concert tickets
27-03-2023,entertainment,35,Movie tickets
14-03-2023,food,90,Grocery shopping
07-04-2023,food,25,Grocery shopping
23-03-2023,food,30,Grocery shopping
09-04-2023,travelling,85,Taxi fare
22-01-2023,travelling,160,Taxi fare
05-01-2023,travelling,140,Taxi fare
19-02-2023,entertainment,105,Dinner with friends
16-01-2023,entertainment,115,Movie tickets
27-02-2023,entertainment,60,Dinner with friends
04-04-2023,food,35,Grocery shopping
10-04-2023,food,100,Grocery shopping
02-04-2023,food,120,Grocery shopping
28-01-2023,food,70,Grocery shopping
11-03-2023,food,75,Grocery shopping
12-02-2023,travelling,55,Bus fare
04-03-2023,healthcare,185,Dentist's visit
22-03-2023,healthcare,120,Doctor's visit
14-04-2023,healthcare,130,Doctor
19-02-2023,entertainment,30,Movie tickets
11-03-2023,entertainment,170,Concert tickets
14-01-2023,entertainment,125,Movie tickets
23-01-2023,food,135,Grocery shopping
03-03-2023,food,115,Grocery shopping
12-03-2023,food,190,Grocery shopping
03-04-2023,travelling,25,Taxi fare
19-03-2023,travelling,125,Taxi fare
23-01-2023,travelling,5,Taxi fare
03-04-2023,entertainment,200,Dinner with friends
10-02-2023,entertainment,130,Movie tickets
18-01-2023,entertainment,90,Dinner with friends
15-02-2023,food,25,Grocery shopping
09-02-2023,food,115,Grocery shopping
03-03-2023,food,145,Grocery shopping
17-02-2023,food,105,Grocery shopping
18-03-2023,food,45,Grocery shopping
27-03-2023,travelling,70,Bus fare
24-03-2023,food,160,Grocery shopping
30-01-2023,entertainment,130,Concert tickets
05-01-2023,travelling,5,Taxi fare
08-04-2023,food,140,Grocery shopping
19-02-2023,entertainment,35,Dinner with friends
21-03-2023,travelling,130,Bus fare
08-02-2023,travelling,40,Bus fare
20-03-2023,travelling,185,Bus fare
05-04-2023,travelling,115,Bus fare
25-02-2023,dailyneeds,115,Electricity bill
07-02-2023,dailyneeds,155,Water bill
02-03-2023,utilities,150,Gas bill
05-01-2023,dailyneeds,25,Electricity bill
10-01-2023,entertainment,195,Movie tickets
13-04-2023,food,160,Grocery shopping
02-01-2023,food,90,Grocery shopping
18-02-2023,food,45,Grocery shopping
09-03-2023,healthcare,90,Doctor's visit
01-04-2023,healthcare,185,Dentist's visit
05-03-2023,healthcare,110,Doctor's visit
21-03-2023,healthcare,5,Doctor
12-03-2023,entertainment,130,Movie tickets
18-02-2023,entertainment,25,Concert tickets
14-03-2023,entertainment,135,Movie tickets
12-03-2023,food,170,Grocery shopping
13-01-2023,food,20,Grocery shopping
16-01-2023,food,90,Grocery shopping
07-03-2023,travelling,95,Taxi fare
12-02-2023,travelling,35,Taxi fare
20-03-2023,travelling,95,Taxi fare
09-01-2023,entertainment,55,Dinner with friends
06-03-2023,entertainment,85,Movie tickets
15-03-2023,entertainment,20,Dinner with friends
27-03-2023,food,5,Grocery shopping
01-04-2023,food,120,Grocery shopping
12-02-2023,food,145,Grocery shopping
06-01-2023,food,175,Grocery shopping
15-01-2023,food,125,Grocery shopping
11-02-2023,travelling,120,Bus fare
03-02-2023,entertainment,180,Movie tickets
03-01-2023,entertainment,115,Dinner with friends
17-01-2023,food,45,Grocery shopping
06-03-2023,food,105,Grocery shopping
28-01-2023,food,65,Grocery shopping
18-02-2023,food,85,Grocery shopping
31-03-2023,food,185,Grocery shopping
01-01-2023,travelling,170,Bus fare
12-01-2023,healthcare,135,Dentist's visit
29-01-2023,healthcare,135,Doctor's visit
17-01-2023,healthcare,25,Doctor
13-03-2023,entertainment,105,Movie tickets
07-03-2023,entertainment,150,Concert tickets
13-01-2023,entertainment,50,Movie tickets
10-04-2023,food,165,Grocery shopping
13-04-2023,food,135,Grocery shopping
11-02-2023,food,90,Grocery shopping
02-04-2023,travelling,135,Taxi fare
30-01-2023,travelling,95,Taxi fare
01-01-2023,travelling,140,Taxi fare
27-01-2023,entertainment,90,Dinner with friends
05-04-2023,entertainment,125,Movie tickets
15-03-2023,entertainment,10,Dinner with friends
08-03-2023,food,45,Grocery shopping
14-01-2023,food,155,Grocery shopping
14-03-2023,food,75,Grocery shopping
28-01-2023,food,185,Grocery shopping
11-02-2023,food,170,Grocery shopping
30-01-2023,travelling,70,Bus fare
19-01-2023,food,30,Grocery shopping
27-02-2023,entertainment,90,Concert tickets
02-02-2023,travelling,60,Taxi fare
01-03-2023,food,90,Grocery shopping
09-04-2023,entertainment,155,Dinner with friends
10-02-2023,travelling,15,Bus fare
09-01-2023,travelling,20,Bus fare
06-02-2023,travelling,85,Bus fare
14-04-2023,travelling,175,Bus fare
25-03-2023,dailyneeds,55,Electricity bill
06-02-2023,dailyneeds,170,Water bill
03-01-2023,utilities,20,Gas bill
12-01-2023,dailyneeds,75,Electricity bill
05-03-2023,entertainment,135,Movie tickets
10-03-2023,food,95,Grocery shopping
29-01-2023,food,30,Grocery shopping
07-02-2023,food,95,Grocery shopping
13-02-2023,healthcare,95,Doctor's visit
13-01-2023,healthcare,95,Dentist's visit
05-01-2023,healthcare,10,Doctor's visit
14-03-2023,healthcare,65,Doctor
03-04-2023,entertainment,165,Movie tickets
27-01-2023,entertainment,140,Concert tickets
14-01-2023,entertainment,180,Movie tickets
04-04-2023,food,145,Grocery shopping
11-02-2023,food,70,Grocery shopping
01-02-2023,food,70,Grocery shopping
23-01-2023,travelling,145,Taxi fare
11-01-2023,travelling,125,Taxi fare
21-03-2023,travelling,50,Taxi fare
24-01-2023,entertainment,105,Dinner with friends
11-02-2023,entertainment,20,Movie tickets
23-03-2023,entertainment,50,Dinner with friends
04-03-2023,food,55,Grocery shopping
04-01-2023,food,105,Grocery shopping
09-03-2023,food,150,Grocery shopping
08-04-2023,food,20,Grocery shopping
01-04-2023,food,115,Grocery shopping
14-02-2023,travelling,165,Bus fare
14-02-2023,entertainment,170,Concert tickets
29-03-2023,entertainment,150,Movie tickets
12-01-2023,food,75,Grocery shopping
21-02-2023,food,45,Grocery shopping
01-04-2023,food,130,Grocery shopping
23-03-2023,travelling,190,Taxi fare
23-01-2023,travelling,150,Taxi fare
15-02-2023,travelling,105,Taxi fare
09-03-2023,entertainment,125,Dinner with friends
16-02-2023,entertainment,95,Movie tickets
04-01-2023,entertainment,55,Dinner with friends
27-03-2023,food,40,Grocery shopping
02-03-2023,food,100,Grocery shopping
07-03-2023,food,30,Grocery shopping
20-02-2023,food,145,Grocery shopping
28-01-2023,food,15,Grocery shopping
17-02-2023,travelling,55,Bus fare
10-03-2023,food,135,Grocery shopping
19-03-2023,entertainment,15,Concert tickets
11-04-2023,travelling,15,Taxi fare
02-04-2023,food,80,Grocery shopping
01-03-2023,entertainment,190,Dinner with friends
18-01-2023,travelling,90,Bus fare
27-02-2023,travelling,200,Bus fare
26-01-2023,travelling,45,Bus fare
01-03-2023,travelling,200,Bus fare
08-01-2023,dailyneeds,85,Electricity bill
02-04-2023,dailyneeds,110,Water bill
21-01-2023,utilities,120,Gas bill
10-02-2023,dailyneeds,70,Electricity bill
04-01-2023,entertainment,10,Movie tickets
22-02-2023,food,180,Grocery shopping
23-02-2023,food,15,Grocery shopping
18-02-2023,food,150,Grocery shopping
22-03-2023,healthcare,95,Doctor's visit
04-01-2023,healthcare,140,Dentist's visit
10-03-2023,healthcare,165,Doctor's visit
02-04-2023,healthcare,170,Doctor
09-01-2023,entertainment,95,Movie tickets
23-03-2023,entertainment,10,Concert tickets
04-01-2023,entertainment,105,Movie tickets
07-01-2023,food,110,Grocery shopping
28-02-2023,food,40,Grocery shopping
07-04-2023,food,125,Grocery shopping
15-01-2023,travelling,45,Taxi fare
10-03-2023,travelling,70,Taxi fare
25-03-2023,travelling,105,Taxi fare
18-03-2023,entertainment,195,Dinner with friends
07-03-2023,entertainment,15,Movie tickets
30-03-2023,entertainment,150,Dinner with friends
09-03-2023,food,200,Grocery shopping
09-03-2023,food,70,Grocery shopping
18-01-2023,food,25,Grocery shopping
29-01-2023,food,50,Grocery shopping
09-04-2023,food,15,Grocery shopping
22-01-2023,travelling,185,Bus fare
10-04-2023,healthcare,100,Dentist's visit
02-03-2023,healthcare,160,Doctor's visit
04-02-2023,healthcare,45,Doctor
24-01-2023,entertainment,35,Movie tickets
12-02-2023,entertainment,195,Concert tickets
20-01-2023,entertainment,75,Movie tickets
09-03-2023,food,90,Grocery shopping
19-02-2023,food,40,Grocery shopping
14-02-2023,food,40,Grocery shopping
16-03-2023,travelling,135,Taxi fare
17-01-2023,travelling,160,Taxi fare
09-02-2023,travelling,25,Taxi fare
25-01-2023,entertainment,105,Dinner with friends
07-02-2023,entertainment,30,Movie tickets
23-02-2023,entertainment,90,Dinner with friends
05-01-2023,food,200,Grocery shopping
22-01-2023,food,175,Grocery shopping
08-03-2023,food,55,Grocery shopping
14-02-2023,food,50,Grocery shopping
23-02-2023,food,185,Grocery shopping
07-01-2023,travelling,80,Bus fare
10-02-2023,food,70,Grocery shopping
09-04-2023,entertainment,65,Concert tickets
20-02-2023,travelling,40,Taxi fare
31-03-2023,food,185,Grocery shopping
02-04-2023,entertainment,130,Dinner with friends
03-01-2023,travelling,165,Bus fare
13-03-2023,travelling,125,Bus fare
01-03-2023,travelling,135,Bus fare
10-04-2023,travelling,195,Bus fare
26-02-2023,entertainment,40,Dinner with friends
03-01-2023,food,170,Grocery shopping
07-04-2023,food,105,Grocery shopping
17-02-2023,food,170,Grocery shopping
23-02-2023,food,195,Grocery shopping
14-04-2023,food,5,Grocery shopping
19-01-2023,travelling,170,Bus fare
15-04-2023,healthcare,70,Dentist's visit
03-03-2023,healthcare,140,Doctor's visit
04-04-2023,healthcare,35,Doctor
08-02-2023,entertainment,60,Movie tickets
03-04-2023,entertainment,80,Concert tickets
12-04-2023,entertainment,90,Movie tickets
03-03-2023,food,160,Grocery shopping
20-01-2023,food,165,Grocery shopping
17-01-2023,food,100,Grocery shopping
22-03-2023,travelling,40,Taxi fare
15-04-2023,travelling,190,Taxi fare
09-02-2023,travelling,140,Taxi fare
30-03-2023,entertainment,150,Dinner with friends
28-01-2023,entertainment,180,Movie tickets
04-04-2023,entertainment,35,Dinner with friends
25-01-2023,food,180,Grocery shopping
07-04-2023,food,120,Grocery shopping
15-02-2023,food,25,Grocery shopping
14-02-2023,food,30,Grocery shopping
02-01-2023,food,105,Grocery shopping
08-01-2023,travelling,160,Bus fare
07-04-2023,food,155,Grocery shopping
19-03-2023,entertainment,35,Concert tickets
21-01-2023,travelling,40,Taxi fare
01-03-2023,food,40,Grocery shopping
18-02-2023,entertainment,25,Dinner with friends
12-02-2023,travelling,140,Bus fare
27-03-2023,travelling,125,Bus fare
03-04-2023,travelling,145,Bus fare
12-02-2023,travelling,65,Bus fare
05-04-2023,dailyneeds,55,Electricity bill
13-03-2023,dailyneeds,35,Water bill
17-02-2023,utilities,95,Gas bill
27-03-2023,dailyneeds,25,Electricity bill
10-03-2023,entertainment,135,Movie tickets
31-03-2023,food,60,Grocery shopping
15-03-2023,food,100,Grocery shopping
22-01-2023,food,125,Grocery shopping
05-03-2023,healthcare,45,Doctor's visit
06-02-2023,healthcare,185,Dentist's visit
03-03-2023,healthcare,60,Doctor's visit
25-03-2023,healthcare,120,Doctor
13-03-2023,entertainment,50,Movie tickets
20-02-2023,entertainment,100,Concert tickets
02-01-2023,entertainment,60,Movie tickets
24-02-2023,food,35,Grocery shopping
31-03-2023,food,90,Grocery shopping
11-03-2023,food,50,Grocery shopping
15-02-2023,travelling,10,Taxi fare
05-04-2023,travelling,5,Taxi fare
21-03-2023,travelling,115,Taxi fare
18-03-2023,entertainment,150,Dinner with friends
03-04-2023,entertainment,190,Movie tickets
16-03-2023,entertainment,190,Dinner with friends
29-01-2023,food,45,Grocery shopping
19-01-2023,food,135,Grocery shopping
12-04-2023,food,185,Grocery shopping
27-03-2023,food,40,Grocery shopping
18-03-2023,food,30,Grocery shopping
14-02-2023,travelling,85,Bus fare
14-03-2023,entertainment,160,Movie tickets
13-03-2023,entertainment,5,Dinner with friends
05-02-2023,food,150,Grocery shopping
08-03-2023,food,65,Grocery shopping
27-02-2023,food,5,Grocery shopping
07-01-2023,food,170,Grocery shopping
04-01-2023,food,160,Grocery shopping
30-03-2023,travelling,200,Bus fare
15-03-2023,healthcare,145,Dentist's visit
27-01-2023,healthcare,55,Doctor's visit
21-02-2023,healthcare,20,Doctor
07-03-2023,entertainment,60,Movie tickets
25-03-2023,entertainment,20,Concert tickets
30-01-2023,entertainment,180,Movie tickets
18-02-2023,food,115,Grocery shopping
06-03-2023,food,55,Grocery shopping
11-04-2023,food,40,Grocery shopping
03-04-2023,travelling,165,Taxi fare
09-01-2023,travelling,70,Taxi fare
21-03-2023,travelling,195,Taxi fare
30-03-2023,entertainment,95,Dinner with friends
14-02-2023,entertainment,170,Movie tickets
12-01-2023,entertainment,60,Dinner with friends
05-03-2023,food,120,Grocery shopping
06-01-2023,food,170,Grocery shopping
23-02-2023,food,115,Grocery shopping
27-02-2023,food,140,Grocery shopping
05-03-2023,food,70,Grocery shopping
06-04-2023,travelling,200,Bus fare
12-02-2023,food,125,Grocery shopping
14-03-2023,entertainment,165,Concert tickets
19-02-2023,travelling,85,Taxi fare
12-02-2023,food,140,Grocery shopping
02-01-2023,entertainment,115,Dinner with friends
02-04-2023,travelling,155,Bus fare
27-03-2023,travelling,145,Bus fare
25-03-2023,travelling,155,Bus fare
